,event,particle_track_id,particle_parent_track_id,particle_pdg_code,particle_mass,particle_charge,particle_process_key,particle_initial_energy,particle_initial_x,particle_initial_y,particle_initial_z,particle_initial_t,particle_final_x,particle_final_y,particle_final_z,particle_final_t,particle_decay_flag,particle_detector_x_tag,particle_detector_y_tag
75,0.0,76.0,36.0,11.0,0.51099891,-1.0,1.0,0.5700347378452477,91.65612637999726,282.265884767791,143.7841640081842,601.8847458470973,91.65500102183792,282.26582446412635,143.78425329555324,601.8850057595564,0.0,229.0,705.0
76,0.0,77.0,36.0,11.0,0.51099891,-1.0,1.0,0.5199642778584471,98.1658016785212,279.7436298066914,143.06592063294212,602.118843962168,98.165863609474,279.74366196010334,143.0659352255929,602.1188571220164,0.0,245.0,699.0
77,0.0,78.0,36.0,11.0,0.51099891,-1.0,1.0,0.51121929,98.1658016785212,279.7436298066914,143.06592063294212,602.118843962168,98.16580180298044,279.7436295724199,143.0659208830386,602.1188443763833,0.0,245.0,699.0
78,0.0,79.0,36.0,11.0,0.51099891,-1.0,1.0,0.5330881643414226,98.79153074602296,276.86634431666033,141.46320352309291,602.2306701039546,98.7914667998283,276.8660860899289,141.4631884088589,602.2307041869844,0.0,246.0,692.0
79,0.0,80.0,36.0,11.0,0.51099891,-1.0,1.0,0.51121929,98.79153074602296,276.86634431666033,141.46320352309291,602.2306701039546,98.79153069012622,276.86634397396097,141.46320363424235,602.23067051817,0.0,246.0,692.0
80,0.0,81.0,36.0,11.0,0.51099891,-1.0,1.0,0.5117494678380848,99.35534045095628,278.0714877000486,142.28117546179612,602.2827673276553,99.35533961241757,278.0714887425696,142.28117595331625,602.28276823943,0.0,248.0,695.0
81,0.0,82.0,36.0,11.0,0.51099891,-1.0,1.0,0.57859915631569,99.87016125885114,278.66117547337103,142.49154931949164,602.3098051471138,99.87237610148492,278.6589887300762,142.49137738843422,602.3101757609728,0.0,249.0,696.0
82,0.0,83.0,36.0,22.0,0.0,0.0,4.0,0.00293051,99.87016125885114,278.66117547337103,142.49154931949164,602.3098051471138,99.87047958975629,278.65999807128213,142.49113532202978,602.3098481109481,0.0,249.0,696.0
83,0.0,84.0,36.0,11.0,0.51099891,-1.0,1.0,0.51120265,99.87016125885114,278.66117547337103,142.49154931949164,602.3098051471138,99.87016109113792,278.66117566014316,142.49154929423884,602.3098054638336,0.0,249.0,696.0
84,0.0,85.0,83.0,11.0,0.51099891,-1.0,1.0,0.51367999,99.87047958975629,278.65999807128213,142.49113532202978,602.3098481109481,99.87048291555134,278.6600012137825,142.49114464619612,602.3098515398895,0.0,249.0,696.0
85,0.0,86.0,83.0,11.0,0.51099891,-1.0,1.0,0.5112190999999999,99.87047958975629,278.65999807128213,142.49113532202978,602.3098481109481,99.87047924443702,278.6599980773991,142.49113520621242,602.3098485249911,0.0,249.0,696.0
86,0.0,87.0,70.0,22.0,0.0,0.0,4.0,0.0061250987872893,91.36598868720088,283.33865552055636,144.13992486774566,601.841037662277,91.36319483141068,283.3389753043175,144.1413239993904,601.8411424325302,0.0,228.0,708.0
87,0.0,88.0,87.0,11.0,0.51099891,-1.0,1.0,0.5139464087872893,91.36319483141068,283.3389753043175,144.1413239993904,601.8411424325302,91.3631830475978,283.3389727667751,144.14132259177558,601.841146231763,0.0,228.0,708.0
