event,ParticleID,kaon_category,particle_parent_track_id,particle_process_key,particle_final_kinetic_energy,particle_decay_flag,track_length_cm
272,2,primary kaon,0,20,0.0,1,0.11235243627496151
273,2,primary kaon,0,20,0.0,1,25.11030213878302
274,2,primary kaon,0,20,0.0,1,5.902589706693713
275,2,primary kaon,0,20,0.0,1,8.808014692487246
276,2,primary kaon,0,20,0.0,1,7.512305100110423
277,2,primary kaon,0,20,0.0,1,1.9912249063528198
278,2,primary kaon,0,20,0.0,1,0.13207918465355908
279,2,primary kaon,0,20,0.0,1,34.19260549889163
280,2,primary kaon,0,20,0.0,1,11.888717127088565
281,2,primary kaon,0,20,0.0,1,5.137790723095183
282,2,primary kaon,0,20,0.0,1,0.6036489916302139
283,2,primary kaon,0,20,0.0,1,15.144344068495453
284,2,primary kaon,0,20,16.59633215341141,1,19.250687578101886
285,2,primary kaon,0,20,0.0,1,33.63601614400533
286,2,primary kaon,0,20,0.0,1,16.429303954711642
287,2,primary kaon,0,20,87.99482059309996,1,4.05577431136985
288,2,primary kaon,0,20,0.0,1,31.30222277727746
289,2,primary kaon,0,20,0.0,1,20.702912910679466
290,2,primary kaon,0,20,49.41535143796859,1,15.42047631814125
291,2,primary kaon,0,20,0.0,1,10.951961679174318
292,9,daughter kaon,2,20,0.0,1,2.133479226019893
292,2,primary kaon,0,-2,0.0,0,19.504820817145117
293,2,primary kaon,0,20,0.0,1,36.56026589136081
294,2,primary kaon,0,20,0.0,1,18.07588190553879
295,2,primary kaon,0,20,0.0,1,13.296337994875866
296,2,primary kaon,0,20,0.0,1,39.070439005145765
297,2,primary kaon,0,20,0.0,1,11.93729601848747
298,2,primary kaon,0,20,68.17939868305238,1,9.93812686263329
299,2,primary kaon,0,20,0.0,1,4.0315820612968984
300,2,primary kaon,0,20,0.0,1,8.323769117823991
301,2,primary kaon,0,20,0.0,1,2.0780764022294105
302,2,primary kaon,0,20,0.0,1,14.988566713243916
303,2,primary kaon,0,20,0.0,1,6.018968394362233
304,2,primary kaon,0,20,0.0,1,18.55481955452845
305,2,primary kaon,0,-2,0.0,0,4.0050442683414715
306,2,primary kaon,0,20,0.0,1,19.712093712517692
307,2,primary kaon,0,20,0.0,1,0.5216592866821372
308,2,primary kaon,0,20,0.0,1,7.678288680775334
309,2,primary kaon,0,20,0.0,1,18.702498242743932
310,2,primary kaon,0,20,0.0,1,0.9313965620181129
311,2,primary kaon,0,20,0.0,1,19.9433464467221
312,2,primary kaon,0,20,0.0,1,24.338815278903475
313,2,primary kaon,0,20,0.0,1,2.5744165558166094
314,2,primary kaon,0,20,0.0,1,26.054149419758723
315,2,primary kaon,0,20,0.0,1,6.077379463826978
316,2,primary kaon,0,20,0.0,1,1.8655648052858296
317,2,primary kaon,0,20,0.0,1,10.270744700883544
318,2,primary kaon,0,20,0.0,1,5.723547414171222
319,2,primary kaon,0,20,0.0,1,13.50671729294864
320,2,primary kaon,0,20,0.0,1,11.39861367399708
321,2,primary kaon,0,20,0.0,1,3.9815722025316442
322,2,primary kaon,0,20,0.0,1,16.11153724074179
323,2,primary kaon,0,20,0.0,1,15.692177792509868
324,2,primary kaon,0,20,0.0,1,16.550847085386305
325,2,primary kaon,0,20,0.0,1,9.297346050025729
326,2,primary kaon,0,20,0.0,1,8.125487070890664
327,2,primary kaon,0,20,44.98888873429154,1,5.352981298207231
328,2,primary kaon,0,20,118.31186153088392,1,9.440496996928845
329,2,primary kaon,0,20,0.0,1,12.868643622819652
330,2,primary kaon,0,20,0.0,1,21.950903449550225
331,2,primary kaon,0,20,0.0,1,4.971602821738815
332,2,primary kaon,0,20,0.0,1,30.24123369009002
333,2,primary kaon,0,20,0.0,1,5.221651886908288
334,2,primary kaon,0,20,0.0,1,17.70594418647552
335,2,primary kaon,0,20,0.0,1,1.3875153390689232
336,2,primary kaon,0,20,0.0,1,9.26441370569913
337,2,primary kaon,0,20,0.0,1,1.4850733557776015
338,2,primary kaon,0,20,0.0,1,16.716944538189654
339,2,primary kaon,0,20,0.0,1,11.394502020608442
340,6,daughter kaon,2,20,0.0,1,5.247515739710835
340,2,primary kaon,0,-2,0.0,0,8.201085318090083
341,2,primary kaon,0,20,0.0,1,11.221594191040952
342,2,primary kaon,0,20,0.0,1,19.158399963462657
343,2,primary kaon,0,20,0.0,1,6.481760916966621
344,2,primary kaon,0,20,187.7659915512561,1,3.5344873948961464
345,2,primary kaon,0,20,0.0,1,12.625432214622863
346,2,primary kaon,0,20,0.0,1,16.78618096200428
347,2,primary kaon,0,20,0.0,1,3.188751225970187
348,2,primary kaon,0,20,0.0,1,22.07927390261686
349,2,primary kaon,0,20,0.0,1,22.607264949703612
350,2,primary kaon,0,20,0.0,1,0.17260036516405936
351,2,primary kaon,0,20,0.0,1,24.4512007200272
352,2,primary kaon,0,20,0.0,1,29.18598249036905
353,2,primary kaon,0,20,0.0,1,31.888378630910218
354,2,primary kaon,0,20,0.0,1,4.693735357502481
355,2,primary kaon,0,-2,0.0,0,33.81937072680691
356,2,primary kaon,0,20,0.0,1,8.027042015653205
357,2,primary kaon,0,20,77.28297201790056,1,9.649802890304178
358,2,primary kaon,0,20,0.0,1,2.36073353542667
359,2,primary kaon,0,20,0.0,1,31.3282511315989
360,2,primary kaon,0,20,0.0,1,3.9070319321384868
361,2,primary kaon,0,20,0.0,1,4.236458136909486
362,2,primary kaon,0,20,0.0,1,1.3637362096956258
363,6,daughter kaon,2,20,0.0,1,0.02537124763357458
363,2,primary kaon,0,-2,0.0,0,2.4908408370175463
364,2,primary kaon,0,20,0.0,1,1.4644141057085434
365,6,daughter kaon,2,20,0.0,1,0.1590820938294402
365,2,primary kaon,0,-2,0.0,0,7.260521683681442
366,2,primary kaon,0,20,0.0,1,8.15091709829923
367,2,primary kaon,0,20,0.0,1,7.275790392353601
368,2,primary kaon,0,20,0.0,1,17.5409716887303
369,2,primary kaon,0,20,0.0,1,6.013808893224179
370,2,primary kaon,0,20,0.0,1,28.41295030477711
371,2,primary kaon,0,20,47.49209346864709,1,3.968018684586715
372,2,primary kaon,0,20,0.0,1,9.456096990790714
373,2,primary kaon,0,20,0.0,1,16.989043638547823
374,2,primary kaon,0,20,0.0,1,21.080142413832693
375,2,primary kaon,0,20,0.0,1,13.25473355531745
376,2,primary kaon,0,20,0.0,1,12.373204934348708
377,2,primary kaon,0,20,0.0,1,6.572825354838576
378,2,primary kaon,0,20,0.0,1,9.790098407849795
379,2,primary kaon,0,20,0.0,1,4.718072460510499
380,2,primary kaon,0,20,0.0,1,6.37972143585402
381,2,primary kaon,0,20,0.0,1,6.331128482469198
382,2,primary kaon,0,20,0.0,1,0.01355995825925738
383,2,primary kaon,0,20,0.0,1,4.606824695384661
384,2,primary kaon,0,20,0.0,1,2.3135020606262486
385,2,primary kaon,0,20,0.0,1,12.419613547416295
386,2,primary kaon,0,20,0.0,1,1.1329146834075827
387,2,primary kaon,0,20,0.0,1,13.131336186771179
388,2,primary kaon,0,20,0.0,1,0.36593984028016885
389,2,primary kaon,0,20,0.0,1,8.559471715285405
390,2,primary kaon,0,20,0.0,1,0.9658883367594585
391,2,primary kaon,0,20,19.13870563516397,1,4.200915980503195
392,2,primary kaon,0,20,0.0,1,19.310679002905296
393,2,primary kaon,0,20,74.09113674033492,1,15.672377988792105
394,2,primary kaon,0,20,74.25884766484421,1,12.5465031491728
395,2,primary kaon,0,20,0.0,1,22.892502384351822
396,2,primary kaon,0,20,0.0,1,13.895373474158301
397,2,primary kaon,0,20,0.0,1,12.081773360652074
398,2,primary kaon,0,20,0.0,1,25.402283342374773
399,2,primary kaon,0,20,0.0,1,25.13301864920735
400,2,primary kaon,0,20,0.0,1,7.090728996081647
401,2,primary kaon,0,20,0.0,1,1.3971085252832225
402,2,primary kaon,0,20,0.0,1,11.738605374118025
403,2,primary kaon,0,20,0.0,1,0.0715881173783301
404,2,primary kaon,0,20,0.0,1,19.5513733037872
405,2,primary kaon,0,20,0.0,1,22.16473032017053
406,2,primary kaon,0,20,0.0,1,6.28959654896641
407,2,primary kaon,0,20,0.0,1,6.866616966027188
408,2,primary kaon,0,20,0.0,1,6.519365371209627
409,2,primary kaon,0,20,0.0,1,25.931935729272848
410,2,primary kaon,0,20,0.0,1,4.275285902921312
411,3,daughter kaon,2,20,0.0,1,0.0069270303837288445
411,2,primary kaon,0,-2,0.0,0,4.586756620168933
412,2,primary kaon,0,20,0.0,1,1.2083964704380015
413,2,primary kaon,0,20,0.0,1,7.396469935339825
414,2,primary kaon,0,20,0.0,1,8.770560189025453
415,2,primary kaon,0,20,0.0,1,9.46924531782694
416,2,primary kaon,0,20,0.0,1,11.370829105762963
417,2,primary kaon,0,20,0.0,1,2.2363799577062977
418,2,primary kaon,0,20,0.0,1,4.265934146992464
419,2,primary kaon,0,20,0.0,1,30.949410098401724
420,2,primary kaon,0,20,0.0,1,11.682201168613277
421,2,primary kaon,0,20,0.0,1,14.184573326474347
422,2,primary kaon,0,20,0.0,1,29.54295391436826
423,2,primary kaon,0,20,0.0,1,15.183029851117183
424,2,primary kaon,0,20,0.0,1,0.09782994677856771
425,2,primary kaon,0,20,0.0,1,5.052457626107291
426,2,primary kaon,0,20,0.0,1,27.1383098385366
427,2,primary kaon,0,20,0.0,1,2.611440068868293
428,2,primary kaon,0,20,0.0,1,17.268130091393946
429,2,primary kaon,0,20,0.0,1,12.188560358716227
430,2,primary kaon,0,20,0.0,1,5.48420263071511
431,2,primary kaon,0,20,0.0,1,5.514994122658228
432,2,primary kaon,0,20,0.0,1,0.6861806654434147
433,2,primary kaon,0,20,0.0,1,0.9845475060471957
434,2,primary kaon,0,20,0.0,1,9.394095371050298
435,2,primary kaon,0,20,0.0,1,6.067789728694348
436,2,primary kaon,0,20,0.0,1,6.615589373024481
437,2,primary kaon,0,20,0.0,1,11.536840601371122
438,2,primary kaon,0,20,0.0,1,29.35453089240425
439,2,primary kaon,0,20,0.0,1,15.402928411749746
440,2,primary kaon,0,20,0.0,1,1.603061873751299
441,2,primary kaon,0,20,0.0,1,23.614341531376105
442,2,primary kaon,0,20,146.12115953651352,1,7.073695477191688
443,2,primary kaon,0,20,0.0,1,5.0841783698080585
444,2,primary kaon,0,20,0.0,1,0.6038225100340013
445,2,primary kaon,0,20,0.0,1,10.265967315455695
446,2,primary kaon,0,20,0.0,1,1.978337197738686
447,2,primary kaon,0,20,0.0,1,2.973185480190431
448,2,primary kaon,0,20,0.0,1,28.21573064394869
449,2,primary kaon,0,20,0.0,1,21.278329348670603
450,2,primary kaon,0,20,0.0,1,8.31652289586818
451,2,primary kaon,0,20,0.0,1,15.261307740584066
452,2,primary kaon,0,20,0.0,1,6.7571673473826195
453,2,primary kaon,0,20,0.0,1,0.6092395468651636
454,2,primary kaon,0,20,0.0,1,11.643749937048472
455,2,primary kaon,0,20,0.0,1,3.560944021578775
456,7,daughter kaon,2,20,0.0,1,0.6184223693585926
456,2,primary kaon,0,-2,0.0,0,3.7560536187310336
457,2,primary kaon,0,20,0.0,1,0.8917140455391804
458,2,primary kaon,0,20,0.0,1,12.7723748129495
459,2,primary kaon,0,20,0.0,1,18.71659454577644
460,2,primary kaon,0,20,0.0,1,8.879617927511203
461,2,primary kaon,0,20,0.0,1,3.828105433306341
