event,ParticleID,PDG,kaon_category,particle_parent_track_id,particle_process_key,particle_final_kinetic_energy,particle_decay_flag,range_bin_index,energy_MeV,path_length_cm,weighted_residual_range_cm,range_bin_low_cm,range_bin_high_cm,track_length_cm,n_steps,residual_range_cm,range_bin_width_cm,dEdx_MeV_per_cm
6,2,321,primary kaon,0,20,0.0,1,-15,4.215425146645686,0.6730874153142719,4.255985290087339,,,20.86600800988412,1,6.3230795781557925,,6.262819732972511
6,2,321,primary kaon,0,20,0.0,1,-14,8.476562619974557,1.503584128732418,11.14368649197317,,,20.86600800988412,2,7.411415350179139,,5.637571225974991
6,2,321,primary kaon,0,20,0.0,1,-13,5.295259817913618,0.927215474607518,7.998916505373097,,,20.86600800988412,1,8.626815151849106,,5.710926923598913
6,2,321,primary kaon,0,20,0.0,1,-12,5.251412269790371,1.0305581926413794,9.899234877201335,,,20.86600800988412,1,9.605701985473555,,5.095696979838374
6,2,321,primary kaon,0,20,0.0,1,-11,2.603120774487752,0.5005183333973334,5.190995884439018,,,20.86600800988412,1,10.371240248492912,,5.200850000475967
6,2,321,primary kaon,0,20,0.0,1,-10,4.5271188987395705,0.8948949314609449,9.90554446034758,,,20.86600800988412,1,11.068946880922052,,5.05882728752179
6,2,321,primary kaon,0,20,0.0,1,-9,5.982282002729226,1.322031205869541,16.098915960020634,,,20.86600800988412,1,12.177409949587291,,4.525068679293764
6,2,321,primary kaon,0,20,0.0,1,-8,7.219688525179499,1.4865054773006559,20.189239170763173,,,20.86600800988412,1,13.581678291172393,,4.856819322515868
6,2,321,primary kaon,0,20,0.0,1,-6,6.484440350216215,1.640603572668894,24.847323067089622,,,20.86600800988412,1,15.145232816157167,,3.952472406034985
6,2,321,primary kaon,0,20,0.0,1,-5,0.3611206441279425,0.1025620169628239,1.642716914383038,,,20.86600800988412,1,16.016815610973026,,3.5209978783747933
6,2,321,primary kaon,0,20,0.0,1,-4,6.9725165602573185,1.8343524551746997,31.156976948783264,,,20.86600800988412,1,16.985272847041788,,3.80107789023199
6,2,321,primary kaon,0,20,0.0,1,-2,7.387688854654681,1.9384570780484283,36.58193704483441,,,20.86600800988412,1,18.87167761365335,,3.8111180991906983
6,2,321,primary kaon,0,20,0.0,1,-1,4.0104536871149765,1.0251018572065533,20.864366654594868,,,20.86600800988412,1,20.353457081280844,,3.9122489720617963
6,2,321,primary kaon,0,20,0.0,1,0,6.394605517356526,0.10084859145445813,0.0050852191991739015,0.0,0.1,20.86600800988412,11,0.05042429572722707,0.1,63.407980469853605
6,2,321,primary kaon,0,20,0.0,1,1,3.0147705935893185,0.09847237944276502,0.014779205520531644,0.1,0.2,20.86600800988412,4,0.1500847811758397,0.1,30.615392972621223
6,2,321,primary kaon,0,20,0.0,1,2,2.611386136908589,0.10569341547706756,0.026652463227936504,0.2,0.30000000000000004,20.86600800988412,3,0.25216767863575495,0.10000000000000003,24.70717901509375
6,2,321,primary kaon,0,20,0.0,1,3,1.9222783199087297,0.09156468112102636,0.032120590440084945,0.30000000000000004,0.4,20.86600800988412,2,0.35079672693480246,0.09999999999999998,20.9936658586507
6,2,321,primary kaon,0,20,0.0,1,4,2.345982377116404,0.11476366745085603,0.05209821790338831,0.4,0.5,20.86600800988412,2,0.4539609012207435,0.09999999999999998,20.44185611374783
6,2,321,primary kaon,0,20,0.0,1,5,1.2073288934584618,0.0677616115054933,0.036945225748489754,0.5,0.6,20.86600800988412,1,0.5452235406989203,0.09999999999999998,17.81729900801704
6,2,321,primary kaon,0,20,0.0,1,6,2.2480970437292656,0.15685609619593754,0.10313796453142254,0.6,0.7,20.86600800988412,2,0.657532394549634,0.09999999999999998,14.332226150273716
6,2,321,primary kaon,0,20,0.0,1,7,1.2867863205564372,0.09059864451995558,0.07078107571860602,0.7,0.8049999999999999,20.86600800988412,1,0.7812597649075812,0.10499999999999998,14.203152015955437
6,2,321,primary kaon,0,20,0.0,1,8,1.550637282119293,0.1016142826075627,0.08915293989021797,0.8049999999999999,0.92575,20.86600800988412,1,0.8773662284713382,0.12075000000000002,15.260032766337575
6,2,321,primary kaon,0,20,0.0,1,9,1.555999920656697,0.11326080857293351,0.11153967173589173,0.92575,1.0646125,20.86600800988412,1,0.9848037740615858,0.1388625,13.738202474995768
7,2,321,primary kaon,0,20,0.0,1,-2,8.407462749323175,0.754344277362087,1.032173591091204,,,2.7009911651677534,5,1.3683057220247967,,11.145392099644143
7,2,321,primary kaon,0,20,0.0,1,-1,9.29101801091116,0.9555133044619131,2.1243301560500107,,,2.7009911651677534,4,2.223234512936797,,9.723588324228825
